Name,Path,Version,Dev Dependency,Flagged,
ignore-walk,fsevents.ignore-walk,3.0.1,true,false,
inflight,fsevents.inflight,1.0.6,true,false,
inherits,fsevents.inherits,2.0.3,true,false,
ini,fsevents.ini,1.3.5,true,false,
is-fullwidth-code-point,fsevents.is-fullwidth-code-point,1.0.0,true,false,
isarray,fsevents.isarray,1.0.0,true,false,
minimatch,fsevents.minimatch,3.0.4,true,false,
minimist,fsevents.minimist,0.0.8,true,false,
minipass,fsevents.minipass,2.2.4,true,false,
minizlib,fsevents.minizlib,1.1.0,true,false,
mkdirp,fsevents.mkdirp,0.5.1,true,false,
ms,fsevents.ms,2.0.0,true,false,
needle,fsevents.needle,2.2.0,true,false,
node-pre-gyp,fsevents.node-pre-gyp,0.10.0,true,false,
nopt,fsevents.nopt,4.0.1,true,false,
npm-bundled,fsevents.npm-bundled,1.0.3,true,false,
npm-packlist,fsevents.npm-packlist,1.1.10,true,false,
npmlog,fsevents.npmlog,4.1.2,true,false,
number-is-nan,fsevents.number-is-nan,1.0.1,true,false,
object-assign,fsevents.object-assign,4.1.1,true,false,
once,fsevents.once,1.4.0,true,false,
os-homedir,fsevents.os-homedir,1.0.2,true,false,
os-tmpdir,fsevents.os-tmpdir,1.0.2,true,false,
osenv,fsevents.osenv,0.1.5,true,false,
path-is-absolute,fsevents.path-is-absolute,1.0.1,true,false,
process-nextick-args,fsevents.process-nextick-args,2.0.0,true,false,
rc,fsevents.rc,1.2.7,true,false,
minimist,rc.minimist,1.2.0,true,false,
readable-stream,fsevents.readable-stream,2.3.6,true,false,
rimraf,fsevents.rimraf,2.6.2,true,false,
safe-buffer,fsevents.safe-buffer,5.1.1,true,false,
safer-buffer,fsevents.safer-buffer,2.1.2,true,false,
sax,fsevents.sax,1.2.4,true,false,
semver,fsevents.semver,5.5.0,true,false,
set-blocking,fsevents.set-blocking,2.0.0,true,false,
signal-exit,fsevents.signal-exit,3.0.2,true,false,
string-width,fsevents.string-width,1.0.2,true,false,
string_decoder,fsevents.string_decoder,1.1.1,true,false,
strip-ansi,fsevents.strip-ansi,3.0.1,true,false,
strip-json-comments,fsevents.strip-json-comments,2.0.1,true,false,
tar,fsevents.tar,4.4.1,true,false,
util-deprecate,fsevents.util-deprecate,1.0.2,true,false,
wide-align,fsevents.wide-align,1.1.2,true,false,
wrappy,fsevents.wrappy,1.0.2,true,false,
yallist,fsevents.yallist,3.0.2,true,false,
fstream,,1.0.11,true,false,
function-bind,,1.1.1,true,false,
function.prototype.name,,1.1.0,true,false,
gauge,,2.7.4,true,false,
is-fullwidth-code-point,gauge.is-fullwidth-code-point,1.0.0,true,false,
string-width,gauge.string-width,1.0.2,true,false,
strip-ansi,gauge.strip-ansi,3.0.1,true,false,
gaze,,1.1.3,true,false,
get-caller-file,,1.0.3,true,false,
get-stdin,,4.0.1,true,false,
get-stream,,3.0.0,true,false,
get-value,,2.0.6,true,false,
getpass,,0.1.7,true,false,
gh-got,,6.0.0,true,false,
got,gh-got.got,7.1.0,true,false,
p-cancelable,gh-got.p-cancelable,0.3.0,true,false,
p-timeout,gh-got.p-timeout,1.2.1,true,false,
github-username,,4.1.0,true,false,
glob,,7.1.2,true,false,
glob-all,,3.1.0,true,false,
minimist,glob-all.minimist,0.1.0,true,false,
yargs,glob-all.yargs,1.2.6,true,false,
glob-base,,0.3.0,true,false,
glob-parent,,2.0.0,true,false,
glob-to-regexp,,0.3.0,true,false,
global,,4.3.2,false,false,
process,global.process,0.5.2,false,false,
global-modules,,1.0.0,true,false,
global-prefix,,1.0.2,true,false,
globals,,9.18.0,true,false,
globule,,1.2.1,true,false,
graceful-fs,,4.1.11,true,false,
grouped-queue,,0.3.3,true,false,
growly,,1.3.0,true,false,
handle-thing,,1.2.5,true,false,
handlebars,,4.0.11,true,false,
async,handlebars.async,1.5.2,true,false,
source-map,handlebars.source-map,0.4.4,true,false,
har-schema,,2.0.0,true,false,
har-validator,,5.0.3,true,false,
has,,1.0.3,true,false,
has-ansi,,2.0.0,true,false,
has-color,,0.1.7,true,false,
has-flag,,3.0.0,true,false,
has-symbol-support-x,,1.4.2,true,false,
has-symbols,,1.0.0,true,false,
has-to-string-tag-x,,1.4.1,true,false,
has-unicode,,2.0.1,true,false,
has-value,,1.0.0,true,false,
has-values,,1.0.0,true,false,
kind-of,has-values.kind-of,4.0.0,true,false,
hash-base,,3.0.4,true,false,
hash.js,,1.1.5,true,false,
hmac-drbg,,1.0.1,true,false,
hoist-non-react-statics,,2.5.5,false,false,
home-or-tmp,,2.0.0,true,false,
homedir-polyfill,,1.0.1,true,false,
hosted-git-info,,2.7.1,true,false,
hpack.js,,2.1.6,true,false,
html-encoding-sniffer,,1.0.2,true,false,
html-entities,,1.2.1,true,false,
html-parse-stringify2,,2.0.1,false,false,
htmlparser2,,3.9.2,true,false,
http-cache-semantics,,3.8.1,true,false,
http-deceiver,,1.2.7,true,false,
http-errors,,1.6.3,true,false,
http-parser-js,,0.4.13,true,false,
http-proxy,,1.17.0,true,false,
http-signature,,1.2.0,true,false,
https-browserify,,1.0.0,true,false,
i18next,,11.6.0,false,false,
iconv-lite,,0.4.23,false,false,
icss-replace-symbols,,1.1.0,true,false,
icss-utils,,2.1.0,true,false,
ieee754,,1.1.12,true,false,
iferr,,0.1.5,true,false,
ignore,,3.3.10,true,false,
immediate,,3.0.6,false,false,
immutable,,4.0.0-rc.9,false,false,
import-local,,1.0.0,true,false,
imurmurhash,,0.1.4,true,false,
in-publish,,2.0.0,true,false,
indent-string,,2.1.0,true,false,
indexof,,0.0.1,true,false,
